Department,Use Case Name,Step Count,Steps,Apps
IT,Server Patch Status Checker,3,"1 Pull servers; 2 Identify missing patches; 3 Notify","Jamf"
IT,Incident Trends Reporter,4,"1 Pull incidents; 2 Identify patterns; 3 Build report; 4 Share","ServiceNow"
IT,IT Ticket Router,3,"1 Pull ticket; 2 Identify category; 3 Assign team","ServiceNow"
IT,API Health Monitor,3,"1 Ping API; 2 Identify failures; 3 Notify","Datadog"
IT,Security Dashboard Generator,4,"1 Pull logs; 2 Build charts; 3 Highlight risks; 4 Export","CrowdStrike"
IT,SSO Offboarding Agent,4,"1 Identify user; 2 Remove permissions; 3 Disable accounts; 4 Log","Okta"
IT,Vulnerability Scan Analyzer,4,"1 Pull scan; 2 Identify risks; 3 Recommend fixes; 4 Notify security team","Tenable"

Support,Ticket Triage Agent,7,"1 Pull new ticket; 2 Detect topic; 3 Score urgency; 4 Suggest response; 5 Assign owner; 6 Notify team; 7 Log","Zendesk"
Support,Knowledge Article Generator,7,"1 Pull issue history; 2 Identify common issues; 3 Draft article; 4 Insert steps; 5 Add media; 6 Publish; 7 Notify team","Confluence"
Support,Sentiment Analysis for Tickets,7,"1 Scan tickets; 2 Analyze tone; 3 Flag angry users; 4 Recommend actions; 5 Notify team; 6 Track; 7 Log","Zendesk"
Support,Support SLA Checker,7,"1 Pull tickets; 2 Measure response time; 3 Identify breaches; 4 Suggest actions; 5 Notify support; 6 Update dashboard; 7 Log","Zendesk"
Support,Call Center QA Agent,7,"1 Transcribe calls; 2 Score quality; 3 Identify issues; 4 Recommend coaching; 5 Notify leads; 6 Log; 7 Track progress","Gong"
Support,Customer Issue Classifier,7,"1 Analyze ticket; 2 Detect category; 3 Tag; 4 Suggest solution; 5 Notify team; 6 Update system; 7 Track","Zendesk"
Support,Knowledge Gap Analyzer,7,"1 Pull tickets; 2 Identify missing solutions; 3 Suggest articles; 4 Assign owners; 5 Track; 6 Publish; 7 Log","Confluence"
Support,Escalation Predictor,7,"1 Analyze ticket; 2 Check sentiment; 3 Identify risk; 4 Recommend outreach; 5 Notify lead; 6 Track; 7 Log","Zendesk"
Support,Call Summary Agent,3,"1 Transcribe call; 2 Extract actions; 3 Update ticket","Gong"
Support,Support Digest Agent,4,"1 Pull metrics; 2 Identify issues; 3 Build digest; 4 Send","Slack"
Support,Ticket Deflection Assistant,4,"1 Analyze issue; 2 Suggest articles; 3 Offer self-service; 4 Track usage","Zendesk"
Support,Customer Apology Writer,3,"1 Analyze issue; 2 Draft apology; 3 Send for approval","Gmail"
Support,Support Forecast Agent,4,"1 Pull ticket volume; 2 Forecast; 3 Recommend staffing; 4 Share","Looker"
Support,CSAT Improvement Planner,4,"1 Pull CSAT; 2 Identify issues; 3 Suggest fixes; 4 Track","SurveyMonkey"
Support,Ticket Auto-Updater,3,"1 Pull tickets; 2 Update statuses; 3 Notify support","Zendesk"
Support,Response Time Analyzer,3,"1 Measure response time; 2 Identify slow tickets; 3 Notify owners","Zendesk"
Support,Ticket Categorizer,3,"1 Pull tickets; 2 Assign categories; 3 Update system","Zendesk"
Support,Customer Temperature Check,4,"1 Analyze tone; 2 Detect escalation risk; 3 Notify team; 4 Suggest message","Gmail"
Support,Support Article Refresher,3,"1 Identify outdated articles; 2 Suggest changes; 3 Notify content owner","Confluence"
Support,Support Macro Optimizer,4,"1 Pull macros; 2 Analyze use; 3 Suggest improvements; 4 Update","Zendesk"
Support,Ticket Prioritization Agent,3,"1 Pull new tickets; 2 Score urgency; 3 Assign priority","Zendesk"
Support,Agent Performance Analyzer,4,"1 Pull metrics; 2 Compare to SLAs; 3 Identify issues; 4 Recommend coaching","Zendesk"
Support,Ticket Merge/Split Recommender,3,"1 Analyze threads; 2 Suggest merge/split; 3 Notify","Zendesk"
Support,Outage Notification Writer,3,"1 Detect outage; 2 Draft update; 3 Notify customers","Statuspage"
Support,Troubleshooting Step Generator,4,"1 Analyze issue; 2 Suggest steps; 3 Build outline; 4 Deliver","Confluence"
Support,VIP Customer Monitor,3,"1 Track VIP tickets; 2 Notify team; 3 Escalate","Zendesk"
Support,Ticket Volume Dashboard Builder,4,"1 Pull volume; 2 Build charts; 3 Highlight spikes; 4 Export","Looker"
Support,Support Queue Balancer,3,"1 Monitor queue; 2 Detect load; 3 Reassign tickets","Zendesk"
Support,Customer Follow-Up Agent,3,"1 Detect resolved tickets; 2 Draft follow-up; 3 Send","Gmail"
Support,On-Call Summary Agent,4,"1 Pull incidents; 2 Summarize; 3 Highlight fixes; 4 Share","Slack"

Product,Feature Prioritization Agent,7,"1 Pull requests; 2 Score impact; 3 Score effort; 4 Rank features; 5 Notify PM; 6 Build report; 7 Save","Jira"
Product,Roadmap Planner,7,"1 Pull initiatives; 2 Analyze goals; 3 Score priority; 4 Assign quarters; 5 Create roadmap; 6 Notify team; 7 Export","Productboard"
Product,User Feedback Analyzer,7,"1 Pull feedback; 2 Identify themes; 3 Detect sentiment; 4 Suggest fixes; 5 Notify PM; 6 Track; 7 Log","Notion"
Product,Feature Spec Drafting Agent,7,"1 Capture idea; 2 Build outline; 3 Write details; 4 Insert requirements; 5 Add acceptance criteria; 6 Share; 7 Log","Notion"
Product,UX Issue Detector,7,"1 Analyze session recordings; 2 Identify friction areas; 3 Suggest fixes; 4 Prioritize; 5 Notify PM; 6 Add to board; 7 Track","Hotjar"
Product,Experiment Planner,7,"1 Capture hypothesis; 2 Define metrics; 3 Build variants; 4 Assign segments; 5 Build test plan; 6 Notify teams; 7 Log","Optimizely"
Product,Churn Reason Analyzer,7,"1 Pull churn notes; 2 Identify themes; 3 Rank causes; 4 Recommend roadmap actions; 5 Build report; 6 Notify product; 7 Log","Mixpanel"
Product,Adoption Funnel Analyzer,7,"1 Pull funnel data; 2 Identify dropoffs; 3 Suggest fixes; 4 Estimate impact; 5 Notify PM; 6 Update dashboards; 7 Log","Looker"
Product,Release Notes Writer,3,"1 Capture changes; 2 Write notes; 3 Publish","Notion"
Product,Backlog Grooming Assistant,4,"1 Pull backlog; 2 Identify outdated items; 3 Recommend pruning; 4 Notify PM","Jira"
Product,Feature Flag Rollout Planner,4,"1 Identify cohorts; 2 Suggest schedule; 3 Assign owners; 4 Notify team","LaunchDarkly"
Product,Customer Feedback Summarizer,3,"1 Pull feedback; 2 Summarize; 3 Notify PM","SurveyMonkey"
Product,Persona Builder,3,"1 Analyze customer data; 2 Group segments; 3 Build persona","Notion"
Product,Product Metrics Reporter,4,"1 Pull KPIs; 2 Identify changes; 3 Build insights; 4 Send report","Looker"
Product,Competitive Product Analyzer,4,"1 Pull competitor info; 2 Compare features; 3 Identify gaps; 4 Build report","Google Search"
Product,User Session Analyzer,4,"1 Pull sessions; 2 Identify friction; 3 Suggest fixes; 4 Notify PM","Hotjar"
Product,Feature Deprecation Agent,3,"1 Identify low usage; 2 Recommend deprecation; 3 Notify team","Productboard"
Product,Product Launch Checklist Agent,4,"1 Build checklist; 2 Assign owners; 3 Track tasks; 4 Notify team","Asana"
Product,Experiment Results Analyzer,4,"1 Pull experiment data; 2 Analyze lift; 3 Recommend decisions; 4 Notify team","Optimizely"
Product,User Journey Map Builder,4,"1 Pull usage; 2 Map journey; 3 Identify gaps; 4 Export","Miro"
Product,Release Health Monitor,4,"1 Pull errors; 2 Identify issues; 3 Notify team; 4 Log","Sentry"
Product,Feature Comparison Table Builder,3,"1 Pull competitor data; 2 Build table; 3 Export","Notion"
Product,Product FAQ Generator,3,"1 Pull support issues; 2 Identify patterns; 3 Write FAQs","Confluence"
Product,Idea Validation Agent,4,"1 Pull data; 2 Validate demand; 3 Recommend next step; 4 Log","Notion"
Product,User Demand Forecaster,3,"1 Pull trends; 2 Forecast usage; 3 Notify PM","Looker"
Product,Feature Success Analyzer,4,"1 Pull metrics; 2 Measure success; 3 Identify gaps; 4 Notify PM","Looker"
Product,Customer Advisory Board Prep Agent,4,"1 Pull insights; 2 Build deck outline; 3 Summarize themes; 4 Share","Google Slides"
Product,Usability Study Coordinator,4,"1 Recruit users; 2 Assign tasks; 3 Schedule sessions; 4 Notify PM","Calendly"
Product,Product Vision Draft Agent,3,"1 Capture direction; 2 Build narrative; 3 Save","Notion"
Product,Product KPI Dashboard Builder,4,"1 Pull KPIs; 2 Build dashboard; 3 Highlight issues; 4 Share","Looker"

Engineering,Bug Triage Agent,7,"1 Pull bugs; 2 Categorize; 3 Score severity; 4 Assign owner; 5 Suggest fix area; 6 Notify team; 7 Log","Jira"
Engineering,Release Pipeline Validator,7,"1 Pull pipeline; 2 Identify issues; 3 Suggest fixes; 4 Notify team; 5 Rerun jobs; 6 Track status; 7 Log","GitHub Actions"
Engineering,Code Review Summarizer,7,"1 Pull PR; 2 Analyze code; 3 Summarize changes; 4 Flag risks; 5 Suggest improvements; 6 Notify team; 7 Log","GitHub"
Engineering,Sprint Planning Agent,7,"1 Pull backlog; 2 Estimate work; 3 Suggest priorities; 4 Build sprint; 5 Assign tickets; 6 Notify team; 7 Log","Jira"
Engineering,Log Analyzer,7,"1 Pull logs; 2 Identify anomalies; 3 Detect errors; 4 Suggest fixes; 5 Notify engineers; 6 Log results; 7 Track progress","Datadog"
Engineering,Test Coverage Analyzer,7,"1 Pull tests; 2 Identify gaps; 3 Recommend new tests; 4 Build plan; 5 Notify QA; 6 Track; 7 Log","GitHub"
Engineering,Incident Postmortem Builder,7,"1 Pull incident; 2 Analyze cause; 3 Build timeline; 4 Identify fixes; 5 Build doc; 6 Notify team; 7 Log","Notion"
Engineering,API Performance Monitor,7,"1 Pull metrics; 2 Identify slow endpoints; 3 Suggest optimizations; 4 Build report; 5 Notify team; 6 Add tasks; 7 Track","Datadog"
Engineering,Architecture Review Agent,7,"1 Pull diagrams; 2 Identify risks; 3 Suggest improvements; 4 Score architecture; 5 Build doc; 6 Notify team; 7 Log","Miro"
Engineering,Build Failure Analyzer,3,"1 Pull failed builds; 2 Identify cause; 3 Suggest fix","GitHub Actions"
Engineering,Error Rate Reporter,4,"1 Pull errors; 2 Identify spikes; 3 Suggest fixes; 4 Notify team","Sentry"
Engineering,Deployment Risk Analyzer,4,"1 Pull changes; 2 Score risk; 3 Recommend approvals; 4 Notify","GitHub"
Engineering,Feature Flag Validator,3,"1 Pull flags; 2 Identify issues; 3 Notify team","LaunchDarkly"
Engineering,QA Ticket Generator,3,"1 Identify edge cases; 2 Build tickets; 3 Assign","Jira"
Engineering,API Contract Checker,4,"1 Pull schema; 2 Validate APIs; 3 Identify mismatches; 4 Notify team","Postman"
Engineering,Refactor Candidate Finder,4,"1 Pull codebase; 2 Identify hotspots; 3 Suggest refactors; 4 Notify team","SonarQube"
Engineering,Code Smell Detector,3,"1 Scan code; 2 Identify smells; 3 Recommend fixes","SonarQube"
Engineering,Developer Onboarding Agent,4,"1 Pull repos; 2 Build setup steps; 3 Provision access; 4 Notify dev","GitHub, Okta"
Engineering,API Usage Dashboard Builder,4,"1 Pull logs; 2 Build usage charts; 3 Highlight anomalies; 4 Export","Looker"
Engineering,Pull Request Reviewer,3,"1 Analyze PR; 2 Suggest improvements; 3 Add comments","GitHub"
Engineering,Database Query Optimizer,4,"1 Pull queries; 2 Identify slow ones; 3 Suggest improvements; 4 Notify","Datadog"
Engineering,Cycle Time Analyzer,3,"1 Pull commits; 2 Calculate cycle time; 3 Build report","GitHub"
Engineering,CI/CD Stats Reporter,4,"1 Pull pipeline data; 2 Identify trends; 3 Build report; 4 Share","GitHub Actions"
Engineering,Infrastructure Health Checker,3,"1 Pull infra metrics; 2 Identify risks; 3 Notify team","AWS"
Engineering,Runbook Generator,4,"1 Capture scenario; 2 Build steps; 3 Insert references; 4 Export","Notion"
Engineering,Code Ownership Mapper,3,"1 Pull repos; 2 Map ownership; 3 Export chart","GitHub"
Engineering,API Latency Predictor,4,"1 Pull logs; 2 Forecast latency; 3 Recommend fixes; 4 Notify","Datadog"
Engineering,Test Flakiness Detector,3,"1 Pull test results; 2 Identify flaky tests; 3 Notify QA","GitHub Actions"
Engineering,Repository Cleanup Agent,4,"1 Pull repos; 2 Identify stale branches; 3 Suggest deletion; 4 Notify team","GitHub"
Engineering,New Feature Impact Analyzer,4,"1 Pull feature changes; 2 Identify dependent systems; 3 Suggest migration steps; 4 Share","Jira"
